date,message_count,morning,middle,night,high,low,pressure,humidity,cats,color,up
8.13.2019,399,good,okay-bad,bad,93.59,74.79,1013.39,0.83,,,
8.14.2019,216,good,okay-okay-good,good,91.74,75.75,1013.86,0.83,,,
8.15.2019,149,good,good,good,84.79,74.14,1014.91,0.91,,,
8.16.2019,422,good,good,good,77.39,71.34,1016.05,0.95,,,
8.17.2019,700,good,good,good,76.16,72.74,1017.86,0.95,,,
8.18.2019,711,good,good,good,81.67,72.74,1019.24,0.92,,,
8.19.2019,376,good,okay,okay-good,85.63,72.59,1019.14,0.87,,,
8.20.2019,388,okay,okay-good-good,good-okay-okay,91.32,71.93,1019.88,0.84,,,
8.21.2019,519,okay-okay-good,good,good,92.71,73.08,1019.37,0.79,,,
8.22.2019,310,good,good-okay,okay-bad-okay,93.38,72.45,1018.1,0.77,,,
8.23.2019,481,good-good-okay,okay,bad-bad-okay,93.43,72.88,1016.75,0.76,,,
8.24.2019,672,good,good,good,93.34,74.36,1015.37,0.78,,,
8.25.2019,556,good,good,good,89.9,72.57,1015.25,0.83,,,
8.26.2019,576,good,good-okay,okay-bad,92,72.09,1015.67,0.83,,,
8.27.2019,309,okay,okay,okay-bad,89.6,72.99,1015.34,0.89,,,
8.28.2019,284,good,good,good-okay-okay,91.65,73.61,1013.56,0.82,,,
8.29.2019,1091,okay,okay-okay-bad,bad,93.46,73.35,1014.51,0.77,,,
8.30.2019,438,okay,okay-good-okay,okay-bad,86.86,75.23,1015.96,0.87,,,
8.31.2019,132,good,good,good-okay-okay,91.4,76,1016.5,0.81,,,
9.1.2019,415,good,good,okay,86.33,75.94,1015.8,0.86,,,
9.2.2019,605,bad-okay,okay,okay-okay-good,88.17,75.66,1012.68,0.86,,,
9.3.2019,233,good,good,good,87.17,74.87,1011.04,0.84,,,
9.4.2019,578,good,good,okay-bad,87.55,76.67,1008.96,0.8,,,
9.5.2019,324,good,good,good,94.62,74.86,1011.47,0.71,,,
9.6.2019,651,good,good,okay,94.28,68.26,1012.19,0.71,,,
9.7.2019,863,good,bad-bad-okay,okay-okay-bad,95.52,69.82,1013.7,0.7,,,
9.8.2019,642,good,good-okay,okay,95.83,70.4,1016.21,0.73,,,
9.9.2019,412,good,good-okay,okay-bad,95.38,72.42,1019.41,0.74,,,
9.10.2019,208,bad-okay,okay-good-good,good-okay-good,93.51,71.31,1022.13,0.76,,,
9.11.2019,463,okay,okay-okay-good,good-okay-okay,92.35,72,1021.34,0.78,,,
9.12.2019,215,good,good-okay,okay-good-okay,90.45,73.46,1018.38,0.77,,,
9.13.2019,512,good,good,good,88.31,72.81,1018.46,0.8,,,
9.14.2019,380,good,okay,okay-bad-bad,90.42,74.25,1018.03,0.78,,,
9.15.2019,424,okay,good,good-good-okay,88.06,73.24,1015.77,0.83,,,
9.16.2019,186,good,good,good,92.8,69.73,1015.32,0.75,,,
9.17.2019,145,good,good,good,95.89,67.7,1014.62,0.69,,,
9.18.2019,392,okay,okay,good,91.99,69.86,1015.75,0.75,,,
9.19.2019,20,good,good,good,85.69,68.21,1018.48,0.75,,,
9.20.2019,0,good,good,good,86.29,68.24,1020.95,0.75,,,
9.21.2019,1,good,good,okay,86.06,66.38,1022.28,0.73,,,
9.22.2019,412,good,good,okay,88.16,67.22,1020.64,0.73,,,
9.23.2019,210,good,good-okay,okay-okay-bad,88.19,62.18,1017.93,0.72,,,
9.24.2019,341,good,good,okay-bad,92.74,67.87,1013.8,0.71,,,
9.25.2019,583,okay,good,okay-okay-good,95.1,71.86,1012.93,0.73,2,black,
9.26.2019,329,good,good,good-okay,94.22,72.97,1013.48,0.75,0,grey,
9.27.2019,543,good,good,good,93.6,67.32,1015.43,0.74,1,navy,
9.28.2019,330,good,good,okay-good,89.05,67.15,1019.09,0.77,0,grey stripe,
9.29.2019,843,good,good-good-okay,okay-okay-good,90.53,72.1,1020.55,0.77,0,navy,
9.30.2019,345,good,good-okay,okay-bad-bad,91.61,72.97,1019.18,0.78,0,teal,
10.1.2019,616,good,good,okay-okay-good,90.64,70.54,1017.06,0.79,2,striped,
10.2.2019,436,okay,okay,okay-good,89.08,66.7,1015.85,0.79,2,black,
10.3.2019,1171,okay,okay,okay-bad-bad,90.93,62.02,1016.66,0.75,0,pink,
10.4.2019,633,okay,okay,bad,91.45,66.98,1016.78,0.76,0,tan & black,
10.5.2019,1153,okay-bad,bad-bad-okay,okay-bad,89.77,71.46,1016.7,0.79,0,teal,
10.6.2019,746,good-okay,okay-bad,bad,85.14,71.13,1017.71,0.78,1,burgundy,
10.7.2019,101,okay,okay-good,okay-bad-bad,81.25,70.36,1014.85,0.91,0,grey,
10.8.2019,304,good-okay,okay-good-okay,okay-good,81.28,70.37,1014.86,0.9,1,navy,
10.9.2019,348,good,good,good,83.81,70.3,1013.48,0.88,1,grey,
10.10.2019,569,good-good-okay,okay,okay,83.03,65.8,1016.3,0.84,0,grey,
10.11.2019,339,good,good,good-okay,85.93,63.65,1017.55,0.79,0,navy,
10.12.2019,1154,good,good-okay,okay-okay-bad,85.67,59.94,1017.71,0.73,0,grey striped,
10.13.2019,435,good,good-okay,okay,86.16,64.13,1017.42,0.75,1,black,
10.14.2019,210,good,good,good,85.81,63.95,1017.74,0.76,0,striped,
10.15.2019,238,good,good,okay,88.97,69.8,1018.25,0.76,1,pink,
10.16.2019,234,okay,okay-okay-good,good,89.06,72.02,1017.25,0.76,3,tan,"1:15, 4:38"
10.17.2019,779,good,good-okay-okay,okay-good-good,87.13,61.52,1012.21,0.84,0,black,"1:02, 4:05"
10.18.2019,329,good,good,good,76.2,58.6,1014.1,0.72,0,navy,4:20
10.19.2019,600,good,good,good,71.5,65.01,1014.39,0.8,0,teal,5:01
10.20.2019,251,good,good,okay-good,80.47,69.3,1009.1,0.91,0,black,"3:55, 5:04"
10.21.2019,502,okay,okay,okay-good,84.23,63.03,1012.49,0.82,0,grey,"2:24, 5:11"
10.22.2019,226,good,good-okay,okay-bad,80.66,73.72,1015.62,0.93,0,burgundy,6:06
10.23.2019,321,okay,okay,okay,87.28,54.56,1015.47,0.89,0,,"11:34, 5:04"
10.24.2019,338,good,good-okay,okay-good-good,77.34,61.01,1019.73,0.61,1,plaid,"3:31, 5:05"
10.25.2019,728,good,good,good,84.65,71,1020.34,0.8,1,black,"12:11, 3:50"
10.26.2019,579,good,good,good,87.75,71.05,1018.99,0.82,0,black,3:30
10.27.2019,594,okay,okay,okay,87.35,73.23,1014.59,0.84,0,grey,3:02
10.28.2019,145,good,good-okay,okay-bad-bad,82.23,69.57,1015,0.92,0,pink,5:02
10.29.2019,316,good,good-okay,bad,86.79,75.13,1017.7,0.86,0,black,"10:54, 6:20"
10.30.2019,544,good,good,good,89.16,73.37,1018.8,0.84,0,black,"3:01, 4:33"
10.31.2019,287,good-good-okay,good-okay,good,89.08,71.88,1018.3,0.85,0,grey striped,"12:18, 5:34"
11.1.2019,736,good,good,good,88.3,53.29,1016.7,0.84,2,navy,2:29
11.2.2019,424,good,good,good,67.45,58.92,1021.3,0.69,0,burgundy,"2:37, 4:38"
11.3.2019,1012,good,good,good,66.56,46.87,1020.2,0.77,0,navy,1:33
11.4.2019,562,good,good,bad-bad-okay,76.55,57.05,1020.8,0.71,0,striped,5:33
11.5.2019,758,good,good,good-okay-okay,80.44,66.86,1020.4,0.8,0,tan,"2:34, 4:28, 6:19"
11.6.2019,329,good-okay,good,good,80.07,66.21,1020.4,0.9,0,grey,2;31
11.7.2019,437,good,good-okay,okay,81.86,67.73,1023.4,0.85,0,teal,"1:45, 4:54, 6:19"
11.8.2019,338,good,good,good-okay,85.53,66.44,1020.6,0.85,0,plaid,"2:05, 5:35"
11.9.2019,906,good,good-good-okay,okay-good,69.8,51.03,1017.7,0.91,0,black,"2:16, 5:48"
11.10.2019,754,good,good,good,69.95,45.53,1020.7,0.83,1,grey striped,"2:35, 6:09"
11.11.2019,736,okay,okay,okay,74,48.76,1022.6,0.73,0,navy,"12:57, 4:29, 5:57"
11.12.2019,376,good,good-okay-bad,bad-okay-bad,79.92,56.05,1020.5,0.78,2,black,"2:57, 5:15"
11.13.2019,152,okay,okay-bad,bad,81.14,39.66,1015.4,0.85,0,grey,"1:37, 4:19"
11.14.2019,271,good,good,good,61.27,46.76,1022.5,0.77,0,navy,"2:27, 5:55"
11.15.2019,132,good,good,good,64.65,54.8,1021.2,0.9,0,navy,"3:27, 5:00"
11.16.2019,1,good-okay,okay,okay-good,57.42,50.04,1015.7,0.96,0,black,4:55
11.17.2019,53,good,okay-good,good,51.92,48,1014.4,0.93,3,grey,5:13
11.18.2019,591,good-okay,okay-bad,bad,55.33,46.53,1014.7,0.88,3,grey striped,1:45
11.19.2019,375,okay,okay-okay-bad,bad,71.91,44.99,1011.7,0.79,1,burgundy,"2:51, 6:08"
11.20.2019,360,okay,okay,okay,68.17,42.26,1014.7,0.72,1,black,"12:59, 5:55"
11.21.2019,423,good,good-good-okay,okay,72.61,42.66,1020.8,0.73,1,striped,"2:09, 3:43, 5:00"
11.22.2019,249,okay,good,good,74.12,49.85,1023.7,0.8,5,pink,"1:43, 4:34, 6:08"
11.23.2019,228,good,good,good,76.44,47.98,1020.5,0.81,1,tan,"3:11, 4:36"
11.24.2019,846,okay,okay,okay,78.78,52.67,1015.8,0.81,0,grey,"3:35, 5:11"
11.25.2019,571,okay-okay-bad,bad-bad-okay,okay,63.38,37.85,1013.3,0.82,0,pink,"1:32, 2:45, 3:20, 5:20"
11.26.2019,317,good,good,okay,66.66,38.07,1015.1,0.81,0,black,"12:51, 5:09"
11.27.2019,417,good,good,good,57.24,37.04,1003.1,0.77,0,teal,"2:37, 4:15"
11.28.2019,196,good,good,good,39.55,34.11,1028.1,0.69,0,black,
11.29.2019,466,good,good,good,38.73,34.03,1028.5,0.74,0,navy,
11.30.2019,245,good,good,good,40.88,38.24,1015.7,0.76,0,grey striped,"12:39, 4:19"
12.1.2019,406,good,good,okay,46.92,35.16,997,0.85,0,burgundy,"12:25, 2:03"
12.2.2019,602,okay,good-good-okay,okay-bad-bad,60.04,32.65,1013.9,0.54,1,striped,3:23
12.3.2019,142,bad-okay-good,good-good-okay,okay-okay-good,57.18,36.08,1016.1,0.7,1,tan,2:29
12.4.2019,225,good,good,good,66.44,38.5,1015.3,0.67,0,grey,"4:08, 6:20"
12.5.2019,175,good,good,okay-good,71.18,39.36,1020,0.63,0,,"1:43, 5:22"
12.6.2019,347,okay,okay,okay,77.23,59.24,1021.6,0.72,1,burgundy,3:07
12.7.2019,206,good-good-okay,okay-good-okay,good-okay,78.74,63.91,1021,0.72,1,black,5:16
12.8.2019,117,good,good-okay,okay-bad-okay,79.01,64.15,1021,0.75,0,grey,5:17
12.9.2019,502,,,,81.81,55.84,1019.3,0.8,0,navy,"12:23, 5:23"
12.10.2019,272,,,,83.4,59.5,1019.2,0.84,,,3:59
12.11.2019,197,,,,65.66,57.06,1023.9,0.86,,,4:02
12.12.2019,295,,,,68.35,62.46,1025.4,0.83,,,
12.13.2019,262,,,,72.07,60.25,1014.5,0.94,,,
12.14.2019,183,,,,43.5,29.2,1005.2,0.87,,,
12.15.2019,154,,,,34.36,27.01,1017.1,0.72,,,
12.16.2019,222,,,,36.61,27.73,1021.2,0.81,,,
12.17.2019,312,,,,35.06,23.74,1017,0.76,,,
12.18.2019,173,,,,26.02,10.5,1022.1,0.72,,,
12.19.2019,142,,,,31.23,17.06,1029.3,0.73,,,
12.20.2019,364,,,,36.27,24.54,1033.8,0.85,,,
12.21.2019,343,,,,45.19,28.16,1029.6,0.83,,,
12.22.2019,147,,,,49.06,31.03,1025.5,0.81,,,
12.23.2019,213,,,,52.02,28.94,1019.8,0.87,,,
12.24.2019,233,,,,41.65,28.86,1020.2,0.93,,,
12.25.2019,94,,,,55.67,39.02,1016.1,0.88,,,
12.26.2019,123,,,,61.71,52.27,1016.8,0.88,,,
12.27.2019,379,,,,54.46,32.6,1021.4,0.85,,,
12.28.2019,298,,,,44.03,37.27,1024.5,0.86,,,
12.29.2019,81,,,,59.91,44.56,1009.2,0.91,,,
12.30.2019,141,,,,47.8,31.35,999.6,0.84,,,
12.31.2019,102,,,,24.79,11.38,1008.4,0.9,,,
1.1.2020,19,,,,33.19,27.93,998.2,0.92,,,
1.2.2020,10,,,,35.8,28.36,999.4,0.93,,,
1.3.2020,60,,,,33.52,19.5,1011.8,0.92,,,
1.4.2020,241,,,,29.95,24.08,1018.3,0.91,,,
1.5.2020,158,,,,63.49,34.78,1026.4,0.61,,,
1.6.2020,344,good-good-okay,okay-okay-bad,bad,69.22,37.81,1024.1,0.68,,,
1.7.2020,83,good,good,good,71.73,37.23,1022.2,0.81,1,,
1.8.2020,350,good,good,good,65.94,36.58,1029.2,0.61,1,grey,2:53
1.9.2020,173,good,good,good,75.5,56.7,1030.8,0.79,,,3:02
1.10.2020,122,okay,okay-good,good,80.08,64.96,1027.4,0.84,,,
1.11.2020,1006,good-okay,okay,okay,82.91,65.48,1023,0.89,1,grey,"1:47, 5:05"
1.12.2020,508,good,good,good,84.63,67.59,1024.5,0.89,2,black,6:05
1.13.2020,335,good,good-good-okay,,84.25,59.05,1026.7,0.87,,grey striped,"3:06, 6:04"
1.14.2020,209,,,,81.98,60.28,1025,0.9,,,
1.15.2020,199,,,,81.8,59.99,1023.4,0.9,,,
1.16.2020,129,,,,79.55,57.85,1024.9,0.92,,,
1.17.2020,183,,,,71.29,52.58,1029.1,0.74,,,
1.18.2020,19,,,,77.9,59.34,1026.4,0.8,,black,
1.19.2020,0,,,,74.3,38.12,1019.6,0.88,,navy,
1.20.2020,14,,,,58.92,31.98,1024.1,0.61,,grey,
1.21.2020,490,,,,50.45,30.29,1025.9,0.57,,grey striped,
1.22.2020,684,,,,57.78,47.84,1023.6,0.62,,,
1.23.2020,359,,,,65.9,54.16,1020.1,0.88,,,
1.24.2020,429,,,,72.92,46.57,1016.6,0.91,,,
1.25.2020,862,,,,66.47,38.94,1019,0.74,,,
1.26.2020,917,,,,65.45,50.53,1019.5,0.7,,,
1.27.2020,315,,,,64.73,43.58,1015,0.78,,,
1.28.2020,166,,,,68.04,37.63,1015.9,0.7,,,
1.29.2020,424,,,,62.17,51.42,1014.7,0.86,3,grey,
1.30.2020,341,,,,64.63,52.64,1016.2,0.86,4,grey striped,
1.31.2020,219,,,,72.85,48.84,1017.2,0.88,5,,
2.1.2020,326,,,,62.49,41.05,1016.3,0.88,4,,
2.2.2020,335,,,,65.46,40.32,1020.6,0.7,3,,"2:15, 5:24"
2.3.2020,167,,,,74.86,42.8,1021.2,0.75,2,,"2:30, 5:30"
2.4.2020,272,,,,75.03,52.74,1020.4,0.8,5,,"2:20, 5:30"
2.5.2020,411,good,good,good,79.31,66.84,1015.9,0.82,4,,"2:20, 5:30"
2.6.2020,193,good,good,good,82.64,52.27,1006,0.81,4,,"1:29, 5:54"
2.7.2020,285,good,good,good,61.75,36.74,1013.7,0.58,5,,"2:30, 5:30"
2.8.2020,423,good,good,good-okay-okay,68.69,40.42,1025.9,0.57,4,,"1:20, 2:30"
2.9.2020,177,good,good-good-okay,okay-okay-bad,75.66,47.69,1028.8,0.67,6,,6:16
2.10.2020,210,good,good-okay-bad,bad,82.8,61.39,1024.2,0.78,5,,4:14
2.11.2020,180,okay-okay-bad,bad-okay-okay,okay-bad-okay,84.43,64.23,1020.5,0.84,0,teal,1:29
2.12.2020,170,good,good,okay-bad,84.01,64.66,1018.6,0.87,,navy,"1:03, 6:17"
2.13.2020,271,okay,okay,okay,84.08,56,1016.5,0.87,,,"2:44, 5:30"
2.14.2020,354,good,good,good,62.13,41.42,1022.6,0.86,,,"11:34, 2:53, 5:30"
2.15.2020,279,good,good-okay,okay-good,73.28,50.65,1026.4,0.72,1,burgundy,"3:52, 5:11"
2.16.2020,129,okay,okay,okay,79.86,57.11,1020.7,0.82,0,grey,3:35
2.17.2020,349,good-okay,good-good-okay,okay-okay-good,72.07,61.01,1018.8,0.9,2,plaid,"3:13, 4:28, 6:16"
2.18.2020,202,good,good,okay,84.26,63.48,1020.6,0.83,0,,"12:53, 2:26"
2.19.2020,192,good,good-okay,bad,80.88,61.2,1022.1,0.83,2,,
2.20.2020,123,good,good-good-okay,okay-bad-bad,74.44,42.17,1019.9,0.86,0,,1:46
2.21.2020,187,okay,okay,okay-bad-bad,50.74,33.63,1025.7,0.74,1,,"12:12, 2:05, 3:51"
2.22.2020,160,good,good-okay,okay-bad-bad,64.59,40.85,1028.2,0.66,0,teal,"12:46, 4:44"
2.23.2020,207,good,good-okay,okay-good,73.31,50.05,1024.2,0.69,3,black,"1:54, 5:05"
2.24.2020,134,good,okay,bad,76.75,62.63,1017.5,0.72,0,plaid,"2:05, 4:56"
2.25.2020,187,good,good,good,72.07,61.27,1012.9,0.91,,,2:25
2.26.2020,106,good,good,okay-bad,71.08,42.51,1013.6,0.95,,,
2.27.2020,241,good,good,good,58.05,34.19,1021.5,0.65,,,4:30
2.28.2020,1,good,good,good,31.89,16.87,1018.8,0.57,,grey striped,4:56
2.29.2020,0,good,good,good,35.73,28.15,1022.2,0.53,,navy,4:26
3.1.2020,0,good,good,good,53.95,35.35,1010.8,0.72,,,
3.2.2020,398,good,okay-bad,bad,43.43,30.95,1007.1,0.76,,,
3.3.2020,210,good,good,good,50.55,33.18,1002.8,0.83,,,"1:24, 3:03, 6:11"
3.4.2020,196,good,good,good,45.48,26.33,1012.4,0.7,,,
3.5.2020,245,okay,okay,okay,51.99,35.07,1017.6,0.61,,grey striped,6:13
3.6.2020,0,good,good,good,38.57,23.33,1019.7,0.79,,navy,
3.7.2020,0,good,good,good,44.93,31.98,1032.9,0.61,,black,
3.8.2020,211,good,good-okay,okay-good,61.78,47.27,1026.8,0.49,,burgundy,
3.9.2020,67,okay,,,,,,,,pink,4:27
